pathway	pancancer	ontology
polyamine binding	746	Molecular Function
adenosylcobinamide kinase activity	745	Molecular Function
Adenosylcobinamide-gdp biosynthesis from cobyrinate a,c-diamide	745	Metacyc
Adenosylcobinamide-gdp salvage from cobinamide I	745	Metacyc
Adenosylcobinamidegdp salvage from cobinamide II	745	Metacyc
cell wall macromolecule biosynthetic process	743	Biological Process
RNA-dependent ATPase activity	743	Molecular Function
UDP-glucose:hexose-1-phosphate uridylyltransferase activity	743	Molecular Function
glucose-1-phosphate thymidylyltransferase activity	742	Molecular Function
siderophore uptake transmembrane transporter activity	741	Molecular Function
diaminohydroxyphosphoribosylaminopyrimidine deaminase activity	737	Molecular Function
isoleucine biosynthetic process	734	Biological Process
Synthesis of PE	730	Reactome
bacterial-type flagellum basal body, rod	729	Cellular Component
arginine biosynthetic process via ornithine	726	Biological Process
imidazoleglycerol-phosphate synthase activity	726	Molecular Function
1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase activity	725	Molecular Function
carbon-sulfur lyase activity	725	Molecular Function
fructose-bisphosphate aldolase activity	725	Molecular Function
adenosylcobinamide-GDP ribazoletransferase activity	724	Molecular Function
cobalamin 5'-phosphate synthase activity	724	Molecular Function
serine O-acetyltransferase activity	724	Molecular Function
DNA methylation	724	Reactome
PRC2 methylates histones and DNA	724	Reactome
threonine metabolic process	720	Biological Process
glycine cleavage complex	720	Cellular Component
SUMOylation of DNA methylation proteins	720	Reactome
argininosuccinate lyase activity	717	Molecular Function
fumarate hydratase activity	716	Molecular Function
Ergothioneine biosynthesis I (bacteria)	715	Metacyc
gluconate transmembrane transport	714	Biological Process
peptidoglycan turnover	714	Biological Process
gluconate transmembrane transporter activity	714	Molecular Function
leucyltransferase activity	714	Molecular Function
tRNA nucleotidyltransferase activity	714	Molecular Function
urease activity	714	Molecular Function
Plasmalogen degradation	714	Metacyc
phosphoribosylformylglycinamidine synthase activity	711	Molecular Function
threonine-phosphate decarboxylase activity	711	Molecular Function
Response of EIF2AK1 (HRI) to heme deficiency	711	Reactome
cation binding	710	Molecular Function
fumarate metabolic process	709	Biological Process
oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor	708	Molecular Function
glycogen (starch) synthase activity	705	Molecular Function
oxidoreductase activity, acting on the CH-NH2 group of donors	705	Molecular Function
RNA ligase activity	701	Molecular Function
Cellular hexose transport	700	Reactome
(S)-propane-1,2-diol degradation	698	Metacyc
Photosynthesis light reactions	698	Metacyc
ribosomal small subunit biogenesis	697	Biological Process
chromosome organization	690	Biological Process
N-acetyl-gamma-glutamyl-phosphate reductase activity	688	Molecular Function
nucleoside-triphosphatase activity	688	Molecular Function
urea catabolic process	687	Biological Process
pyruvate metabolic process	684	Biological Process
N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity	683	Molecular Function
Carnitine synthesis	683	Reactome
polyphosphate biosynthetic process	682	Biological Process
polyphosphate kinase complex	682	Cellular Component
Rutin degradation (plants)	682	Metacyc
Telomere Extension By Telomerase	682	Reactome
nucleotide-sugar metabolic process	681	Biological Process
dTDP-glucose 4,6-dehydratase activity	681	Molecular Function
carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity	680	Molecular Function
nucleotide metabolic process	678	Biological Process
protein tetramerization	675	Biological Process
L-methionine salvage from methylthioadenosine	672	Biological Process
Defective MPI causes MPI-CDG (CDG-1b)	672	Reactome
metallocarboxypeptidase activity	670	Molecular Function
L-phenylalanine degradation V	670	Metacyc
heme transmembrane transporter activity	669	Molecular Function
isoleucyl-tRNA aminoacylation	668	Biological Process
carbohydrate derivative biosynthetic process	667	Biological Process
glutamine-fructose-6-phosphate transaminase (isomerizing) activity	667	Molecular Function
deaminase activity	662	Molecular Function
L-lactate dehydrogenase activity	656	Molecular Function
Pyruvate fermentation to (S)-lactate	656	Metacyc
C4-dicarboxylate transport	651	Biological Process
C4-dicarboxylate transmembrane transporter activity	651	Molecular Function
N-acetylmannosamine metabolic process	650	Biological Process
protein metabolic process	650	Biological Process
N-acylglucosamine-6-phosphate 2-epimerase activity	650	Molecular Function
oxidoreductase activity, oxidizing metal ions	650	Molecular Function
potassium ion transmembrane transporter activity	648	Molecular Function
lipopolysaccharide transport	647	Biological Process
tRNA 3'-trailer cleavage	644	Biological Process
endoribonuclease activity, producing 5'-phosphomonoesters	644	Molecular Function
malic enzyme activity	644	Molecular Function
phosphoribosyl-AMP cyclohydrolase activity	643	Molecular Function
carbon fixation	640	Biological Process
1,4-alpha-oligoglucan phosphorylase activity	640	Molecular Function
protein dephosphorylation	639	Biological Process
Ascorbate and aldarate metabolism	639	KEGG
UDP-glucose metabolic process	635	Biological Process
potassium ion transmembrane transport	624	Biological Process
3-dehydroquinate synthase activity	624	Molecular Function
carbohydrate catabolic process	620	Biological Process
Homoglutathione biosynthesis	619	Metacyc
glutathione biosynthetic process	618	Biological Process
Selenate reduction	618	Metacyc
Sulfite oxidation III	618	Metacyc
dihydroorotase activity	617	Molecular Function
lipid glycosylation	614	Biological Process
cardiolipin biosynthetic process	613	Biological Process
cardiolipin synthase activity	611	Molecular Function
Phosphonate and phosphinate metabolism	611	KEGG
crossover junction endodeoxyribonuclease activity	607	Molecular Function
histidinol-phosphate transaminase activity	607	Molecular Function
Arachidonic acid metabolism	607	KEGG
glutamate 5-kinase activity	606	Molecular Function
tricarboxylic acid cycle enzyme complex	605	Cellular Component
ATPase-coupled sulfate transmembrane transporter activity	605	Molecular Function
cellular biosynthetic process	602	Biological Process
intramolecular oxidoreductase activity, interconverting aldoses and ketoses	602	Molecular Function
type II site-specific deoxyribonuclease activity	599	Molecular Function
Cellulose and hemicellulose degradation (cellulolosome)	599	Metacyc
Retinoid metabolism and transport	599	Reactome
Linoleic acid metabolism	597	KEGG
carbohydrate transport	596	Biological Process
carbamate kinase activity	596	Molecular Function
oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen	595	Molecular Function
precorrin-6A reductase activity	594	Molecular Function
Ubiquinol-6 biosynthesis from 4-aminobenzoate (yeast)	594	Metacyc
Ubiquinol-6 bypass biosynthesis (eukaryotic)	594	Metacyc
Phosphatidylcholine acyl editing	593	Metacyc
Phospholipid remodeling (phosphatidylcholine, yeast)	593	Metacyc
Phospholipid remodeling (phosphatidylethanolamine, yeast)	593	Metacyc
ammonium transmembrane transporter activity	592	Molecular Function
hydrolase activity, acting on glycosyl bonds	591	Molecular Function
deoxyribonuclease activity	590	Molecular Function
urocanate hydratase activity	589	Molecular Function
aromatic amino acid family metabolic process	586	Biological Process
nicotinamide riboside transport	586	Biological Process
nicotinamide riboside transmembrane transporter activity	586	Molecular Function
glycerol-3-phosphate catabolic process	585	Biological Process
sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase activity	585	Molecular Function
Kdo transfer to lipid IVA II (Haemophilus)	585	Metacyc
oxygen binding	583	Molecular Function
mannonate dehydratase activity	582	Molecular Function
urea metabolic process	581	Biological Process
diphosphate-fructose-6-phosphate 1-phosphotransferase activity	581	Molecular Function
oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor	580	Molecular Function
tetrahydrobiopterin biosynthetic process	579	Biological Process
4-alpha-hydroxytetrahydrobiopterin dehydratase activity	579	Molecular Function
Tetrahydropteridine recycling	579	Metacyc
ChREBP activates metabolic gene expression	579	Reactome
Neomycin, kanamycin and gentamicin biosynthesis	577	KEGG
UDP-alpha-D-glucose biosynthesis I	577	Metacyc
BMAL1:CLOCK,NPAS2 activates circadian gene expression	577	Reactome
thiolester hydrolase activity	576	Molecular Function
polysaccharide transport	575	Biological Process
NR1H2 & NR1H3 regulate gene expression linked to lipogenesis	575	Reactome
asparaginyl-tRNA aminoacylation	573	Biological Process
asparagine-tRNA ligase activity	573	Molecular Function
selenocysteine incorporation	572	Biological Process
uridylate kinase activity	572	Molecular Function
Myo-inositol biosynthesis	572	Metacyc
DNA ligase (ATP) activity	571	Molecular Function
ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor	571	Molecular Function
Amyloid fiber formation	571	Reactome
response to antibiotic	570	Biological Process
Chloroalkane and chloroalkene degradation	570	KEGG
arginine decarboxylase activity	569	Molecular Function
IMP biosynthetic process	568	Biological Process
histidine catabolic process to glutamate and formamide	565	Biological Process
purine ribonucleoside salvage	564	Biological Process
hypoxanthine phosphoribosyltransferase activity	564	Molecular Function
8-amino-7-oxononanoate biosynthesis III	564	Metacyc
Guanine and guanosine salvage II	564	Metacyc
biotin synthase activity	561	Molecular Function
Metabolism of vitamin K	561	Reactome
conjugation	560	Biological Process
lipoprotein transport	559	Biological Process
glutamate synthase activity	559	Molecular Function
Styrene degradation	559	KEGG
Kdo transfer to lipid IVA IV (P. putida)	559	Metacyc
XBP1(S) activates chaperone genes	559	Reactome
mRNA binding	558	Molecular Function
lactate transport	557	Biological Process
lactate transmembrane transporter activity	557	Molecular Function
L-glutamate degradation VI (to pyruvate)	557	Metacyc
CS/DS degradation	557	Reactome
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides	556	Molecular Function
Non-integrin membrane-ECM interactions	556	Reactome
isopentenyl-diphosphate delta-isomerase activity	555	Molecular Function
All-trans-farnesol biosynthesis	555	Metacyc
Bisabolene biosynthesis (engineered)	555	Metacyc
Mono-trans, poly-cis decaprenyl phosphate biosynthesis	555	Metacyc
Trans, trans-farnesyl diphosphate biosynthesis	555	Metacyc
pyridoxamine-phosphate oxidase activity	554	Molecular Function
1,4-alpha-glucan branching enzyme activity	552	Molecular Function
endopeptidase inhibitor activity	549	Molecular Function
Retinoid cycle disease events	548	Reactome
beta-N-acetylhexosaminidase activity	539	Molecular Function
response to redox state	537	Biological Process
cellular metabolic compound salvage	535	Biological Process
bacterial-type flagellum hook	535	Cellular Component
4-hydroxy-2-nonenal detoxification	533	Metacyc
Glutathione-mediated detoxification I	533	Metacyc
cellular iron ion homeostasis	532	Biological Process
phospholipase activity	532	Molecular Function
coenzyme A metabolic process	530	Biological Process
glucose-6-phosphate dehydrogenase activity	530	Molecular Function
nicotinate phosphoribosyltransferase activity	530	Molecular Function
Defective GALT can cause Galactosemia	530	Reactome
toxin biosynthetic process	528	Biological Process
carbon-oxygen lyase activity	528	Molecular Function
Vancomycin resistance I	527	Metacyc
Vancomycin resistance II	527	Metacyc
glutamate biosynthetic process	526	Biological Process
Gram-negative-bacterium-type cell outer membrane assembly	526	Biological Process
(1,4)-beta-D-xylan degradation	526	Metacyc
Abasic sugar-phosphate removal via the single-nucleotide replacement pathway	524	Reactome
POLB-Dependent Long Patch Base Excision Repair	524	Reactome
Resolution of Abasic Sites (AP sites)	524	Reactome
Resolution of AP sites via the multiple-nucleotide patch replacement pathway	524	Reactome
starch binding	521	Molecular Function
Glutamate Neurotransmitter Release Cycle	521	Reactome
Triglyceride biosynthesis	521	Reactome
Nitrate reduction VII (denitrification)	520	Metacyc
Sodium-coupled phosphate cotransporters	520	Reactome
glutamyl-tRNA(Gln) amidotransferase complex	519	Cellular Component
glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity	519	Molecular Function
Keratan sulfate degradation	519	Reactome
galactokinase activity	517	Molecular Function
Tryptophan catabolism	516	Reactome
cysteine desulfurase activity	512	Molecular Function
'de novo' UMP biosynthetic process	511	Biological Process
photosynthesis, light reaction	511	Biological Process
amino sugar catabolic process	510	Biological Process
Pyruvate fermentation to ethanol III	509	Metacyc
Sodium/Calcium exchangers	509	Reactome
D-xylose degradation IV	508	Metacyc
cellular phosphate ion homeostasis	505	Biological Process
negative regulation of phosphate metabolic process	505	Biological Process
phosphotransferase activity, phosphate group as acceptor	504	Molecular Function
dCTP deaminase activity	503	Molecular Function
N-terminal protein amino acid acetylation	502	Biological Process
L-arabinose degradation IV	502	Metacyc
Integrin cell surface interactions	502	Reactome
3-deoxy-7-phosphoheptulonate synthase activity	500	Molecular Function
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines	500	Molecular Function
formyltetrahydrofolate deformylase activity	498	Molecular Function
thioredoxin peroxidase activity	497	Molecular Function
DNA-3-methyladenine glycosylase activity	496	Molecular Function
nucleoside catabolic process	494	Biological Process
adenosylhomocysteine nucleosidase activity	494	Molecular Function
asparaginase activity	494	Molecular Function
magnesium ion transmembrane transporter activity	494	Molecular Function
methylthioadenosine nucleosidase activity	494	Molecular Function
xylose isomerase activity	494	Molecular Function
arginine deiminase activity	493	Molecular Function
oxidized purine nucleobase lesion DNA N-glycosylase activity	493	Molecular Function
Synthesis of PC	493	Reactome
